title,price,kilometers,date_posted,location,link
1993 Mazda Miata MX-5 chrome,"$17,500","32,685 km",N/A,North Gower,https://autotrader.ca/a/mazda/miata%20mx-5/north%20gower/ontario/19_12586935_/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=1&urm=1&pc=L7L%206T8&sprx=-1
1990 Mazda MX-5 CONVERTIBLE | COUPE |,"$10,910","163,311 km",N/A,Vaughan,https://autotrader.ca/a/mazda/mx-5/vaughan/ontario/5_59173763_20090806102017371/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=1_9_9&pc=L7L%206T8&sprx=-1
1991 Mazda MX-5 Convertible,"$8,995","268,588 km",N/A,Victoriaville,https://autotrader.ca/a/mazda/mx-5/victoriaville/quebec/5_57756466_ct200457103315706/?showcpo=ShowCpo&ncse=no&orup=2_9_9&pc=L7L%206T8&sprx=-1
1993 Mazda Miata MX-5 chrome,"$17,500","32,685 km",N/A,North Gower,https://autotrader.ca/a/mazda/miata%20mx-5/north%20gower/ontario/19_12586935_/?showcpo=ShowCpo&ncse=no&ursrc=boost&orup=3_9_9&pc=L7L%206T8&sprx=-1
1993 Mazda MX-5 2dr Coupe Convertible,"$6,995","169,000 km",N/A,Trois-Rivières,https://autotrader.ca/a/mazda/mx-5/trois-rivi%c3%a8res/quebec/5_58829978_20120305143612450/?showcpo=ShowCpo&ncse=no&orup=4_9_9&pc=L7L%206T8&sprx=-1
1990 Mazda Miata,"$6,900","171,000 km",N/A,Rivière-Du-Loup,https://autotrader.ca/a/mazda/miata%20mx-5/rivi%c3%a8re-du-loup/quebec/19_12584296_/?showcpo=ShowCpo&ncse=no&orup=5_9_9&pc=L7L%206T8&sprx=-1
1990 Mazda Miata MX-5,"$8,000","140,000 km",N/A,Montréal,https://autotrader.ca/a/mazda/miata%20mx-5/montr%c3%a9al/quebec/19_12582208_/?showcpo=ShowCpo&ncse=no&orup=6_9_9&pc=L7L%206T8&sprx=-1
1990 Mazda Miata MX-5 base,"$9,500","155,000 km",N/A,Delta,https://autotrader.ca/a/mazda/miata%20mx-5/delta/british%20columbia/19_12633967_/?showcpo=ShowCpo&ncse=no&orup=7_9_9&pc=L7L%206T8&sprx=-1
1991 Mazda MX-5 Base,"$10,000","124,500 km",N/A,Hillier,https://autotrader.ca/a/mazda/mx-5/hillier/ontario/19_12542506_/?showcpo=ShowCpo&ncse=no&orup=8_9_9&pc=L7L%206T8&sprx=-1
1992 Mazda Miata Eunos Roadster,"$16,800","227,000 km",N/A,Cochrane,https://autotrader.ca/a/mazda/miata%20mx-5/cochrane/alberta/19_12637345_/?showcpo=ShowCpo&ncse=no&orup=9_9_9&pc=L7L%206T8&sprx=-1
