title,price,kilometers,date_posted,location,link
1990 Mazda MX-5 (Part of an Estate Sale),"8,000.00","147,500",< 22 hours ago,St. Catharines                                                                                                                          < 22,https://kijiji.ca/v-cars-trucks/st-catharines/1990-mazda-mx-5-part-of-an-estate-sale/m6821875
Red 1990 Mazda Miata,"6,950.00","178,005",Yesterday,Trenton,https://kijiji.ca/v-cars-trucks/trenton-on/red-1990-mazda-miata/1667075096
2jz swapped miata,lease Contact,"220,000",21/07/2023,Oshawa,https://kijiji.ca/v-cars-trucks/oshawa-durham-region/2jz-swapped-miata/1666745771
1990 Mazda MX-5,"8,000.00","136,000",19/07/2023,Brantford,https://kijiji.ca/v-cars-trucks/brantford/1990-mazda-mx-5/m6785832
1994 Mazda MX-5 base,"11,000.00","227,956",15/07/2023,Oakville / Halton Region,https://kijiji.ca/v-cars-trucks/oakville-halton-region/1994-mazda-mx-5-base/m6764930
Mazda Miata 1994,"6,500.00","277,224",05/07/2023,Deux-Montagnes,https://kijiji.ca/v-autos-camions/laval-rive-nord/mazda-miata-1994/1665273964
Car for sale,lease Contact,"248,000",01/07/2023,Peterborough,https://kijiji.ca/v-cars-trucks/peterborough/car-for-sale/1664912925
Mazda Miata,"9,500.00","134,008",24/06/2023,L'Orignal,https://kijiji.ca/v-cars-trucks/ottawa/mazda-miata/1664217746
1990 Mazda MX-5,"8,000","147,500",N/A,Welland,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29805024
1990 Mazda MX-5,"6,950","178,005",N/A,Invalid Location,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29797387
1994 Mazda MX-5,"6,500","277,224",N/A,Deux-Montagnes,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29625645
1990 Mazda MX-5 CONVERTIBLE | COUPE,"10,910*+ taxes","163,311",N/A,Vaughan,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29785347
1990 Mazda MX-5,"8,000","136,000",N/A,Brantford,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29751667
1994 Mazda MX-5 base,"11,000","227,956",N/A,Oakville,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29721189
1990 Mazda MX-5,"5,900","377,000",N/A,Red Deer,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29765469
1990 Mazda MX-5,"10,500","163,587",N/A,Reserve Mines,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29419036
1990 Mazda MX-5,"9,500","134,008",N/A,L'Orignal,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29535395
1992 Mazda MX-5,"8,000","80,000",N/A,Mississauga,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=28238856
1994 mazda miata,"5,500",464,22/07/2023,New Westminster,https://vancouver.craigslist.org/bnc/cto/d/new-westminster-northeast-1994-mazda/7646345228.html
miata,"9,500","248,000",17/07/2023,Delta,https://vancouver.craigslist.org/rds/cto/d/delta-miata/7644519477.html
94 Mazda Miata MX-5 convertible,"7,500","135,680",13/07/2023,Port Hadlock,https://olympic.craigslist.org/cto/d/port-hadlock-94-mazda-miata-mx/7642922473.html
Mazda Miata,"12,000","288,000",07/07/2023,Richmond,https://vancouver.craigslist.org/rch/cto/d/richmond-south-mazda-miata/7640608409.html
94 Mazda Miata MX-5 convertible,"8,000","135,680",26/06/2023,Port Hadlock,https://olympic.craigslist.org/cto/d/port-hadlock-94-mazda-miata-mx/7636834325.html
92 Mazda Miata,"10,500","176,000",25/07/2023,Waterford,https://detroit.craigslist.org/okl/cto/d/waterford-92-mazda-miata/7647373661.html
1997 MAZDA MIATA LOW MILES,"6,700","155,891",24/07/2023,Kalamazoo,https://kalamazoo.craigslist.org/ctd/d/kalamazoo-1997-mazda-miata-low-miles/7646856684.html
1993 Mazda Miata MX-5 chrome,"17,500","32,685",01/05/2023,North Gower,https://autotrader.ca/a/mazda/miata%20mx-5/north%20gower/ontario/19_12586935_/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=1&urm=1&pc=L7L%206T8&sprx=-1
1990 Mazda MX-5 CONVERTIBLE | COUPE,"10,910","163,311",01/07/2023,Vaughan,https://autotrader.ca/a/mazda/mx-5/vaughan/ontario/5_59173763_20090806102017371/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=1_8_8&pc=L7L%206T8&sprx=-1
1991 Mazda MX-5 Convertible,"8,995","268,588",01/03/2023,Victoriaville,https://autotrader.ca/a/mazda/mx-5/victoriaville/quebec/5_57756466_ct200457103315706/?showcpo=ShowCpo&ncse=no&ursrc=boost&orup=2_8_8&pc=L7L%206T8&sprx=-1
1993 Mazda Miata MX-5 chrome,"17,500","32,685",01/05/2023,North Gower,https://autotrader.ca/a/mazda/miata%20mx-5/north%20gower/ontario/19_12586935_/?showcpo=ShowCpo&ncse=no&ursrc=boost&orup=3_8_8&pc=L7L%206T8&sprx=-1
1993 Mazda MX-5 2dr Coupe Convertible,"6,995","169,000",01/06/2023,Trois-Rivières,https://autotrader.ca/a/mazda/mx-5/trois-rivi%c3%a8res/quebec/5_58829978_20120305143612450/?showcpo=ShowCpo&ncse=no&orup=4_8_8&pc=L7L%206T8&sprx=-1
1990 Mazda Miata MX-5,"8,000","140,000",01/05/2023,Montréal,https://autotrader.ca/a/mazda/miata%20mx-5/montr%c3%a9al/quebec/19_12582208_/?showcpo=ShowCpo&ncse=no&orup=5_8_8&pc=L7L%206T8&sprx=-1
1990 Mazda Miata MX-5 base,"9,500","155,000",01/07/2023,Delta,https://autotrader.ca/a/mazda/miata%20mx-5/delta/british%20columbia/19_12633967_/?showcpo=ShowCpo&ncse=no&orup=6_8_8&pc=L7L%206T8&sprx=-1
1991 Mazda MX-5 Base,"10,000","124,500",01/04/2023,Hillier,https://autotrader.ca/a/mazda/mx-5/hillier/ontario/19_12542506_/?showcpo=ShowCpo&ncse=no&orup=7_8_8&pc=L7L%206T8&sprx=-1
1992 Mazda Miata Eunos Roadster,"16,800","227,000",01/07/2023,Cochrane,https://autotrader.ca/a/mazda/miata%20mx-5/cochrane/alberta/19_12637345_/?showcpo=ShowCpo&ncse=no&orup=8_8_8&pc=L7L%206T8&sprx=-1
1994 Mazda mx-5 miata,"6,500","150,000",N/A,Coquitlam,https://www.facebook.com/marketplace/item/637774731398545/
1991 Mazda mx-5 miata,"10,000","47,000",N/A,Vancouver,https://www.facebook.com/marketplace/item/1227839514566857/
1990 Mazda mx-5 miata,"10,000","140,000",N/A,Oakville,https://www.facebook.com/marketplace/item/219113921044535/
1990 Mazda mx-5 miata,"10,910","163,000",N/A,Vaughan,https://www.facebook.com/marketplace/item/1378590686373493/
1990 Mazda mx-5 miata,"9,500","136,000",N/A,Papineauville,https://www.facebook.com/marketplace/item/595837062667241/
