title,price,kilometers,date_posted,location,link
1994 Mazda mx-5 miata,"6,500","150,000",2023-07-10,Coquitlam,https://www.facebook.com/marketplace/item/637774731398545/
1991 Mazda mx-5 miata,"8,800","47,000",2023-07-24,Vancouver,https://www.facebook.com/marketplace/item/1227839514566857/
1990 Mazda mx-5 miata,"2,000",",000",2023-07-31,Langley,https://www.facebook.com/marketplace/item/512409094396144/
1993 Mazda mx-5 miata,"12,995","118,000",2023-08-06,Saskatoon,https://www.facebook.com/marketplace/item/9582898311780790/
1990 Mazda mx-5 miata,300,",000",2023-08-01,Winnipeg,https://www.facebook.com/marketplace/item/1397544437777492/
1990 Mazda mx-5 miata,"9,500","136,000",2023-07-17,Papineauville,https://www.facebook.com/marketplace/item/595837062667241/
1990 Mazda mx-5 miata,"5,000","183,000",2023-07-10,Blainville,https://www.facebook.com/marketplace/item/183316931387378/
1990 Mazda mx-5 miata,"6,000","250,000",2023-06-26,Ste-Thérèse,https://www.facebook.com/marketplace/item/118537047920642/
1993 Mazda mx-5 miata,"9,500","92,000",2023-08-06,Riverview,https://www.facebook.com/marketplace/item/847058880553009/
1992 Mazda mx-5 miata,"2,400","100,000",2023-07-17,Kelowna,https://www.facebook.com/marketplace/item/797392185360230/
